Title,Save_Path
萬法為心所現,vol01_talk01.mp3
學習新事物並無分年齡限制,L:\budda_mp3\vol01_talk02.mp3
接觸大自然,L:\budda_mp3\vol01_talk03.mp3
色即是空，空即是色,L:\budda_mp3\vol01_talk04.mp3
維摩一默，聲如淵雷,L:\budda_mp3\vol01_talk05.mp3
學佛求智慧,L:\budda_mp3\vol01_talk06.mp3
心是根，法是塵,L:\budda_mp3\vol01_talk07.mp3
白雲與我最相知,L:\budda_mp3\vol01_talk08.mp3
放下屠刀，立地成佛,L:\budda_mp3\vol01_talk09.mp3
我是誰,L:\budda_mp3\vol01_talk10.mp3
親身體驗禪,L:\budda_mp3\vol01_talk11.mp3
唐三藏,L:\budda_mp3\vol01_talk12.mp3
溪聲便是廣長舌,L:\budda_mp3\vol01_talk13.mp3
照見五蘊皆空,L:\budda_mp3\vol01_talk14.mp3
吾心似秋月,L:\budda_mp3\vol01_talk15.mp3
蓮花色,L:\budda_mp3\vol02_talk01.mp3
春有百花秋有月,L:\budda_mp3\vol02_talk02.mp3
六波羅蜜,L:\budda_mp3\vol02_talk03.mp3
安世高法師,L:\budda_mp3\vol02_talk04.mp3
第一位比丘尼,L:\budda_mp3\vol02_talk05.mp3
不必恕春風,L:\budda_mp3\vol02_talk06.mp3
因果報應 (唐紹 李林甫),L:\budda_mp3\vol02_talk07.mp3
伽藍菩薩 (關帝),L:\budda_mp3\vol02_talk08.mp3
香積國,L:\budda_mp3\vol02_talk09.mp3
佛的簡略解釋,L:\budda_mp3\vol02_talk10.mp3
一路通時路路通,L:\budda_mp3\vol02_talk11.mp3
黃鐵匠往生西方,L:\budda_mp3\vol02_talk12.mp3
雲在青天水在瓶,L:\budda_mp3\vol02_talk13.mp3
三千大千世界,L:\budda_mp3\vol02_talk14.mp3
平常心是道,L:\budda_mp3\vol02_talk15.mp3
瓊花一夜滿空山,L:\budda_mp3\vol03_talk01.mp3
鳥窠禪師,L:\budda_mp3\vol03_talk02.mp3
因果報應 -- 含輝和尚,L:\budda_mp3\vol03_talk03.mp3
一宿覺,L:\budda_mp3\vol03_talk04.mp3
因果報應 -- 秦朝白起將軍,L:\budda_mp3\vol03_talk05.mp3
佛法即非佛法，是名佛法,L:\budda_mp3\vol03_talk06.mp3
因果報應 -- 王麻子二十六刀,L:\budda_mp3\vol03_talk07.mp3
春深雨過落花飛,L:\budda_mp3\vol03_talk08.mp3
何為菩薩,L:\budda_mp3\vol03_talk09.mp3
因果報應 -- 竇燕山,L:\budda_mp3\vol03_talk10.mp3
怎得梅花撲鼻香,L:\budda_mp3\vol03_talk11.mp3
為何人有不如意事,L:\budda_mp3\vol03_talk12.mp3
因果報應 -- 大悲咒功德,L:\budda_mp3\vol03_talk13.mp3
布袋和尚契此,L:\budda_mp3\vol03_talk14.mp3
四聖諦,L:\budda_mp3\vol03_talk15.mp3
本來無一物，何處惹塵埃,L:\budda_mp3\vol04_talk01.mp3
莫存順逆,L:\budda_mp3\vol04_talk02.mp3
律宗,L:\budda_mp3\vol04_talk03.mp3
水流原入海，月落不離天,L:\budda_mp3\vol04_talk04.mp3
華嚴宗,L:\budda_mp3\vol04_talk05.mp3
宋˙張方平前生,L:\budda_mp3\vol04_talk06.mp3
"
    唐˙王維詩：《終南別業》",L:\budda_mp3\vol04_talk07.mp3
宋˙王陽明前生,L:\budda_mp3\vol04_talk08.mp3
中陰身(一),L:\budda_mp3\vol04_talk09.mp3
中陰身(二),L:\budda_mp3\vol04_talk10.mp3
一任清風送白雲,L:\budda_mp3\vol04_talk11.mp3
禪的意義,L:\budda_mp3\vol04_talk12.mp3
靜坐觀心,L:\budda_mp3\vol04_talk13.mp3
文天祥浩然正氣,L:\budda_mp3\vol04_talk14.mp3
一片冰心在玉壺,L:\budda_mp3\vol04_talk15.mp3
蘇軾題「西林壁」,L:\budda_mp3\vol05_talk01.mp3
張繼「橋風夜泊」,L:\budda_mp3\vol05_talk02.mp3
因果律,L:\budda_mp3\vol05_talk03.mp3
昨夜雲從風雨去,L:\budda_mp3\vol05_talk04.mp3
五戒,L:\budda_mp3\vol05_talk05.mp3
何先生捨己為人,L:\budda_mp3\vol05_talk06.mp3
"
    唐寒山子詩《共坐白雲中》",L:\budda_mp3\vol05_talk07.mp3
般若波羅蜜多,L:\budda_mp3\vol05_talk08.mp3
淺談經律論三藏,L:\budda_mp3\vol05_talk09.mp3
范仲淹先天下之憂而憂,L:\budda_mp3\vol05_talk10.mp3
萬事無如退步人,L:\budda_mp3\vol05_talk11.mp3
賈島《尋忍者不遇》,L:\budda_mp3\vol05_talk12.mp3
斐度積福變相,L:\budda_mp3\vol05_talk13.mp3
三頭未了便來勾,L:\budda_mp3\vol05_talk14.mp3
雪泥鴻爪,L:\budda_mp3\vol05_talk15.mp3
三界六道(一),L:\budda_mp3\vol06_talk01.mp3
三界六道(二),L:\budda_mp3\vol06_talk02.mp3
三界六道(三),L:\budda_mp3\vol06_talk03.mp3
三界六道(四),L:\budda_mp3\vol06_talk04.mp3
三界六道(五),L:\budda_mp3\vol06_talk05.mp3
三界六道(六),L:\budda_mp3\vol06_talk06.mp3
三界六道(七),L:\budda_mp3\vol06_talk07.mp3
三界六道(八),L:\budda_mp3\vol06_talk08.mp3
三界六道(九),L:\budda_mp3\vol06_talk09.mp3
三界六道(十),L:\budda_mp3\vol06_talk10.mp3
幾樹寒梅帶雪紅,L:\budda_mp3\vol06_talk11.mp3
心經最後咒語釋義,L:\budda_mp3\vol06_talk12.mp3
吹面不寒楊柳風,L:\budda_mp3\vol06_talk13.mp3
百年鑽窗紙，何日出頭時,L:\budda_mp3\vol06_talk14.mp3
王安石禪詩,L:\budda_mp3\vol06_talk15.mp3
三字大明咒,L:\budda_mp3\vol07_talk01.mp3
呂洞賓皈依黃龍禪師,L:\budda_mp3\vol07_talk02.mp3
慈悲梁皇寶懺,L:\budda_mp3\vol07_talk03.mp3
唐․白居易,L:\budda_mp3\vol07_talk04.mp3
佛法文獻是人類文明寶藏,L:\budda_mp3\vol07_talk05.mp3
舍利子,L:\budda_mp3\vol07_talk06.mp3
大乘佛法八宗,L:\budda_mp3\vol07_talk07.mp3
三論宗,L:\budda_mp3\vol07_talk08.mp3
法相宗,L:\budda_mp3\vol07_talk09.mp3
天台宗,L:\budda_mp3\vol07_talk10.mp3
華嚴宗,L:\budda_mp3\vol07_talk11.mp3
密宗,L:\budda_mp3\vol07_talk12.mp3
律宗,L:\budda_mp3\vol07_talk13.mp3
禪宗,L:\budda_mp3\vol07_talk14.mp3
淨宗,L:\budda_mp3\vol07_talk15.mp3
寡婦開悟,L:\budda_mp3\vol08_talk01.mp3
桃花依舊笑春風,L:\budda_mp3\vol08_talk02.mp3
唐․《常建題破山寺後禪院》,L:\budda_mp3\vol08_talk03.mp3
宋․黃庭堅詩《清平樂》,L:\budda_mp3\vol08_talk04.mp3
寒山子,L:\budda_mp3\vol08_talk05.mp3
禪門公案,L:\budda_mp3\vol08_talk06.mp3
參話頭,L:\budda_mp3\vol08_talk07.mp3
野狐禪,L:\budda_mp3\vol08_talk08.mp3
當頭棒喝,L:\budda_mp3\vol08_talk09.mp3
中國第一位僧人：朱士行,L:\budda_mp3\vol08_talk10.mp3
佛的三身,L:\budda_mp3\vol08_talk11.mp3
人面瘡,L:\budda_mp3\vol08_talk12.mp3
六妙門,L:\budda_mp3\vol08_talk13.mp3
念佛生西實錄,L:\budda_mp3\vol08_talk14.mp3
懺悔,L:\budda_mp3\vol08_talk15.mp3
死後報信,L:\budda_mp3\vol09_talk01.mp3
再談阿修羅,L:\budda_mp3\vol09_talk02.mp3
唐․孟浩然《春曉》,L:\budda_mp3\vol09_talk03.mp3
厲鬼報仇,L:\budda_mp3\vol09_talk04.mp3
八不中道,L:\budda_mp3\vol09_talk05.mp3
佛教是哲學(一),L:\budda_mp3\vol09_talk06.mp3
佛教是哲學(二),L:\budda_mp3\vol09_talk07.mp3
淺談人生目的(一),L:\budda_mp3\vol09_talk08.mp3
淺談人生目的(二),L:\budda_mp3\vol09_talk09.mp3
淺談人生目的(三),L:\budda_mp3\vol09_talk10.mp3
觀音菩薩感應事蹟,L:\budda_mp3\vol09_talk11.mp3
四緣,L:\budda_mp3\vol09_talk12.mp3
唐․賈島《送僧》,L:\budda_mp3\vol09_talk13.mp3
八關齋戒,L:\budda_mp3\vol09_talk14.mp3
僧人每日修持生活大概,L:\budda_mp3\vol09_talk15.mp3
談鬼(一),L:\budda_mp3\vol10_talk01.mp3
談鬼(二),L:\budda_mp3\vol10_talk02.mp3
談鬼(三),L:\budda_mp3\vol10_talk03.mp3
孫中山先生《普陀志奇》,L:\budda_mp3\vol10_talk04.mp3
禪定,L:\budda_mp3\vol10_talk05.mp3
虛雲和尚的詩,L:\budda_mp3\vol10_talk06.mp3
因果感應救養孤兒,L:\budda_mp3\vol10_talk07.mp3
四禪八定 (一),L:\budda_mp3\vol10_talk08.mp3
四禪八定 (二),L:\budda_mp3\vol10_talk09.mp3
四禪八定 (三),L:\budda_mp3\vol10_talk10.mp3
青原惟信禪師悟道詩,L:\budda_mp3\vol10_talk11.mp3
唐․良義禪師詩,L:\budda_mp3\vol10_talk12.mp3
三學,L:\budda_mp3\vol10_talk13.mp3
秋的感受唯識無境,L:\budda_mp3\vol10_talk14.mp3
唐․蔣捷詩《虞美人聽雨》,L:\budda_mp3\vol10_talk15.mp3
林同學鬼上身念經脫難,L:\budda_mp3\vol11_talk01.mp3
放焰口,L:\budda_mp3\vol11_talk02.mp3
六度波羅蜜,L:\budda_mp3\vol11_talk03.mp3
業力,L:\budda_mp3\vol11_talk04.mp3
十二因緣流轉門,L:\budda_mp3\vol11_talk05.mp3
念阿彌陀佛(一),L:\budda_mp3\vol11_talk06.mp3
念阿彌陀佛(二),L:\budda_mp3\vol11_talk07.mp3
不二法門,L:\budda_mp3\vol11_talk08.mp3
佛門事理,L:\budda_mp3\vol11_talk09.mp3
十八界,L:\budda_mp3\vol11_talk10.mp3
放下屠刀,L:\budda_mp3\vol11_talk11.mp3
王文簡祖先陰德,L:\budda_mp3\vol11_talk12.mp3
禪師與白雲,L:\budda_mp3\vol11_talk13.mp3
營長好色遭惡報,L:\budda_mp3\vol11_talk14.mp3
禪淨相修,L:\budda_mp3\vol11_talk15.mp3
靜坐 (一),L:\budda_mp3\vol12_talk01.mp3
靜坐 (二),L:\budda_mp3\vol12_talk02.mp3
倓虛大師青年時死而復生記,L:\budda_mp3\vol12_talk03.mp3
明․無明慧經禪師臨終偈,L:\budda_mp3\vol12_talk04.mp3
馬祖道一心法,L:\budda_mp3\vol12_talk05.mp3
"
    禪門公案「龍潭滅燭」",L:\budda_mp3\vol12_talk06.mp3
扶乩,L:\budda_mp3\vol12_talk07.mp3
唐․張若虛詩「春江花月夜」,L:\budda_mp3\vol12_talk08.mp3
海倫奇勒,L:\budda_mp3\vol12_talk09.mp3
生命無始無終,L:\budda_mp3\vol12_talk10.mp3
"
    那先比丘答彌蘭陀王",L:\budda_mp3\vol12_talk11.mp3
三法印,L:\budda_mp3\vol12_talk12.mp3
宋․靈澈禪師「答學僧」,L:\budda_mp3\vol12_talk13.mp3
我是誰 (一),L:\budda_mp3\vol12_talk14.mp3
我是誰 (二),L:\budda_mp3\vol12_talk15.mp3
"
    龐蘊「一口飲盡西江水」公案",L:\budda_mp3\vol13_talk01.mp3
龐蘊「好雪片片，不落別處」公案,L:\budda_mp3\vol13_talk02.mp3
禪以無念為宗,L:\budda_mp3\vol13_talk03.mp3
唐․大珠慧海,L:\budda_mp3\vol13_talk04.mp3
"
    唐․皎然禪師詩《山月行》",L:\budda_mp3\vol13_talk05.mp3
坐香,L:\budda_mp3\vol13_talk06.mp3
唐․冷然禪師詩《宿力華山化寺》,L:\budda_mp3\vol13_talk07.mp3
業感緣起,L:\budda_mp3\vol13_talk08.mp3
賴耶緣起,L:\budda_mp3\vol13_talk09.mp3
法界緣起,L:\budda_mp3\vol13_talk10.mp3
禪與大自然,L:\budda_mp3\vol13_talk11.mp3
《地藏菩薩本願經》光目女感應事蹟,L:\budda_mp3\vol13_talk12.mp3
山林與禪師,L:\budda_mp3\vol13_talk13.mp3
《地藏菩薩本願經》閻浮眾生業感品第四,L:\budda_mp3\vol13_talk14.mp3
元․中峰明本山居詩,L:\budda_mp3\vol13_talk15.mp3
建寺功德,L:\budda_mp3\vol14_talk01.mp3
怨親會苦,L:\budda_mp3\vol14_talk02.mp3
「香嚴擊竹」公案,L:\budda_mp3\vol14_talk03.mp3
禪與止觀,L:\budda_mp3\vol14_talk04.mp3
洞山良价開悟詩偈,L:\budda_mp3\vol14_talk05.mp3
阿羅漢的意義,L:\budda_mp3\vol14_talk06.mp3
梵志出家因緣,L:\budda_mp3\vol14_talk07.mp3
賣持齋功德果報,L:\budda_mp3\vol14_talk08.mp3
一句菩薩號驅鬼,L:\budda_mp3\vol14_talk09.mp3
萬惡淫為首,L:\budda_mp3\vol14_talk10.mp3
金財比丘現生果報,L:\budda_mp3\vol14_talk11.mp3
地獄報應實錄,L:\budda_mp3\vol14_talk12.mp3
"
    文益禪師詩偈《看牡丹》",L:\budda_mp3\vol14_talk13.mp3
明․方孝儒祖先因果報應故事,L:\budda_mp3\vol14_talk14.mp3
兩兄弟不同果報,L:\budda_mp3\vol14_talk15.mp3
佛身充滿於法界,L:\budda_mp3\vol15_talk01.mp3
唐․白居易詩《靈岩寺》,L:\budda_mp3\vol15_talk02.mp3
素食比肉食好，唐․父殺羊女故事,L:\budda_mp3\vol15_talk03.mp3
過去七佛、千佛、五方佛,L:\budda_mp3\vol15_talk04.mp3
觀世音菩薩(一),L:\budda_mp3\vol15_talk05.mp3
觀世音菩薩(二),L:\budda_mp3\vol15_talk06.mp3
唐․白居易詩《大林寺桃花》《白雲泉》,L:\budda_mp3\vol15_talk07.mp3
文殊師利菩薩,L:\budda_mp3\vol15_talk08.mp3
唐․懷濬詩兩首,L:\budda_mp3\vol15_talk09.mp3
蘇軾豁達樂天,L:\budda_mp3\vol15_talk10.mp3
折像富翁善行,L:\budda_mp3\vol15_talk11.mp3
戒殺放生故事兩則,L:\budda_mp3\vol15_talk12.mp3
香港源慧法師詩《雪泥留爪》,L:\budda_mp3\vol15_talk13.mp3
石崇,L:\budda_mp3\vol15_talk14.mp3
修心補相故事兩則: 鄧通、諍臣裴度,L:\budda_mp3\vol15_talk15.mp3
黃龍三關,L:\budda_mp3\vol16_talk01.mp3
"
    戒淫故事，隋․周伯順",L:\budda_mp3\vol16_talk02.mp3
"
    詩與禪，宋․吳可《學詩詩》",L:\budda_mp3\vol16_talk03.mp3
戒殺放生,L:\budda_mp3\vol16_talk04.mp3
"
    害人終害己，元配夫人害小妾故事",L:\budda_mp3\vol16_talk05.mp3
"
    戒殺放生感應故事，老鱉控告趙富翁",L:\budda_mp3\vol16_talk06.mp3
一牛於一日內殺害三人,L:\budda_mp3\vol16_talk07.mp3
源慧法師詩,L:\budda_mp3\vol16_talk08.mp3
迦旃延尊者救貧窮婦,L:\budda_mp3\vol16_talk09.mp3
目犍蓮尊者解答餓鬼問題,L:\budda_mp3\vol16_talk10.mp3
紅葉奇緣,L:\budda_mp3\vol16_talk11.mp3
無緣不成夫妻,L:\budda_mp3\vol16_talk12.mp3
"
    唐․宋之問《渡漢江》",L:\budda_mp3\vol16_talk13.mp3
黃山谷前世係女子,L:\budda_mp3\vol16_talk14.mp3
趙州和尚禪機開示,L:\budda_mp3\vol16_talk15.mp3
東晉․陶淵明田園詩,L:\budda_mp3\vol17_talk01.mp3
"
    戒殺放生故事",L:\budda_mp3\vol17_talk02.mp3
"
    近代輪迴事實數則",L:\budda_mp3\vol17_talk03.mp3
戒殺放生故事,L:\budda_mp3\vol17_talk04.mp3
"
    南北朝․陶弘景詩",L:\budda_mp3\vol17_talk05.mp3
因緣果報,L:\budda_mp3\vol17_talk06.mp3
暮鼓晨鐘,L:\budda_mp3\vol17_talk07.mp3
為何要持素,L:\budda_mp3\vol17_talk08.mp3
五常與五戒,L:\budda_mp3\vol17_talk09.mp3
泰國猴子的執著,L:\budda_mp3\vol17_talk10.mp3
一任清風送白雲,L:\budda_mp3\vol17_talk11.mp3
凡夫打白骨，天人拜白骨,L:\budda_mp3\vol17_talk12.mp3
北宋․曹翰屠城報應,L:\budda_mp3\vol17_talk13.mp3
唐․張旭詩《山中留客》,L:\budda_mp3\vol17_talk14.mp3
摩登女因愛阿難受佛陀化度,L:\budda_mp3\vol17_talk15.mp3
時空觀,L:\budda_mp3\vol18_talk01.mp3
"
    《往生咒》梵音讀誦",L:\budda_mp3\vol18_talk02.mp3
"
    唐․李商隱詩《無題》",L:\budda_mp3\vol18_talk03.mp3
食存五觀,L:\budda_mp3\vol18_talk04.mp3
"
    戒殺放生故事兩則",L:\budda_mp3\vol18_talk05.mp3
明朝太監魏忠賢，清朝太監寇連材,L:\budda_mp3\vol18_talk06.mp3
平常心是道(一),L:\budda_mp3\vol18_talk07.mp3
平常心是道(二),L:\budda_mp3\vol18_talk08.mp3
因果報應 -- 水銀秤的秘密,L:\budda_mp3\vol18_talk09.mp3
客塵煩惱,L:\budda_mp3\vol18_talk10.mp3
觀自在菩薩,L:\budda_mp3\vol18_talk11.mp3
玄奘法師,L:\budda_mp3\vol18_talk12.mp3
佛教是宗教還是哲學? (一),L:\budda_mp3\vol18_talk13.mp3
佛教是宗教還是哲學? (二),L:\budda_mp3\vol18_talk14.mp3
行善延年,L:\budda_mp3\vol18_talk15.mp3
五停心觀,L:\budda_mp3\vol19_talk01.mp3
貧女施燈,L:\budda_mp3\vol19_talk02.mp3
戒殺放生,L:\budda_mp3\vol19_talk03.mp3
大悲咒 (一),L:\budda_mp3\vol19_talk04.mp3
大悲咒 (二),L:\budda_mp3\vol19_talk05.mp3
大悲咒 (三),L:\budda_mp3\vol19_talk06.mp3
大悲咒 (四),L:\budda_mp3\vol19_talk07.mp3
大悲咒 (五),L:\budda_mp3\vol19_talk08.mp3
佛五德,L:\budda_mp3\vol19_talk09.mp3
真如與無明,L:\budda_mp3\vol19_talk10.mp3
"
    人必須有清閒心",L:\budda_mp3\vol19_talk11.mp3
世界的形成,L:\budda_mp3\vol19_talk12.mp3
真正的快樂,L:\budda_mp3\vol19_talk13.mp3
不向逆境低頭 (一),L:\budda_mp3\vol19_talk14.mp3
不向逆境低頭 (二),L:\budda_mp3\vol19_talk15.mp3
地藏菩薩詩偈,L:\budda_mp3\vol20_talk01.mp3
同年月日生命運不同故事,L:\budda_mp3\vol20_talk02.mp3
禪詩《煙寺晚鐘》《辛夷塢》,L:\budda_mp3\vol20_talk03.mp3
孟蘭節,L:\budda_mp3\vol20_talk04.mp3
佛門四眾弟子,L:\budda_mp3\vol20_talk05.mp3
"
    詩的「閒」與「寂」",L:\budda_mp3\vol20_talk06.mp3
蛇魂附人身因果報應故事,L:\budda_mp3\vol20_talk07.mp3
做人必須精進努力,L:\budda_mp3\vol20_talk08.mp3
江神求超度,L:\budda_mp3\vol20_talk09.mp3
畜牲有無靈性?,L:\budda_mp3\vol20_talk10.mp3
八指頭陀,L:\budda_mp3\vol20_talk11.mp3
忍辱柔和是妙方,L:\budda_mp3\vol20_talk12.mp3
淺談鬼道,L:\budda_mp3\vol20_talk13.mp3
因果報應兩則,L:\budda_mp3\vol20_talk14.mp3
