Collection,Title,MP3_URL
Pride and Prejudice (version 3) (audio book),Chapter 01,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_01_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 02,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_02_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 03,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_03_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 04,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_04_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 05,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_05_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 06,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_06_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 07,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_07_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 08,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_08_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 09,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_09_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 10,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_10_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 11,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_11_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 12,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_12_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 13,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_13_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 14,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_14_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 15,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_15_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 16,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_16_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 17,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_17_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 18,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_18_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 19,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_19_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 20,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_20_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 21,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_21_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 22,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_22_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 23,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_23_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 24,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_24_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 25,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_25_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 26,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_26_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 27,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_27_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 28,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_28_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 29,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_29_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 30,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_30_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 31,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_31_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 32,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_32_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 33,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_33_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 34,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_34_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 35,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_35_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 36,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_36_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 37,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_37_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 38,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_38_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 39,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_39_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 40,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_40_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 41,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_41_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 42,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_42_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 43,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_43_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 44,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_44_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 45,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_45_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 46,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_46_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 47,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_47_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 48,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_48_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 49,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_49_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 50,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_50_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 51,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_51_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 52,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_52_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 53,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_53_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 54,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_54_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 55,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_55_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 56,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_56_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 57,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_57_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 58,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_58_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 59,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_59_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 60,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_60_austen_64kb.mp3
Pride and Prejudice (version 3) (audio book),Chapter 61,https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_61_austen_64kb.mp3
