Unnamed: 0,Collection,Title,MP3_URL
0,第 一 輯,萬法為心所現,/proxy/namo_mp3/yuan_series/vol01/vol01_talk01.mp3
1,第 一 輯,學習新事物並無分年齡限制,/proxy/namo_mp3/yuan_series/vol01/vol01_talk02.mp3
2,第 一 輯,接觸大自然,/proxy/namo_mp3/yuan_series/vol01/vol01_talk03.mp3
3,第 一 輯,色即是空，空即是色,/proxy/namo_mp3/yuan_series/vol01/vol01_talk04.mp3
4,第 一 輯,維摩一默，聲如淵雷,/proxy/namo_mp3/yuan_series/vol01/vol01_talk05.mp3
5,第 一 輯,學佛求智慧,/proxy/namo_mp3/yuan_series/vol01/vol01_talk06.mp3
6,第 一 輯,心是根，法是塵,/proxy/namo_mp3/yuan_series/vol01/vol01_talk07.mp3
7,第 一 輯,白雲與我最相知,/proxy/namo_mp3/yuan_series/vol01/vol01_talk08.mp3
8,第 一 輯,放下屠刀，立地成佛,/proxy/namo_mp3/yuan_series/vol01/vol01_talk09.mp3
9,第 一 輯,我是誰,/proxy/namo_mp3/yuan_series/vol01/vol01_talk10.mp3
10,第 一 輯,親身體驗禪,/proxy/namo_mp3/yuan_series/vol01/vol01_talk11.mp3
11,第 一 輯,唐三藏,/proxy/namo_mp3/yuan_series/vol01/vol01_talk12.mp3
12,第 一 輯,溪聲便是廣長舌,/proxy/namo_mp3/yuan_series/vol01/vol01_talk13.mp3
13,第 一 輯,照見五蘊皆空,/proxy/namo_mp3/yuan_series/vol01/vol01_talk14.mp3
14,第 一 輯,吾心似秋月,/proxy/namo_mp3/yuan_series/vol01/vol01_talk15.mp3
15,第 二 輯,蓮花色,/proxy/namo_mp3/yuan_series/vol02/vol02_talk01.mp3
16,第 二 輯,春有百花秋有月,/proxy/namo_mp3/yuan_series/vol02/vol02_talk02.mp3
17,第 二 輯,六波羅蜜,/proxy/namo_mp3/yuan_series/vol02/vol02_talk03.mp3
18,第 二 輯,安世高法師,/proxy/namo_mp3/yuan_series/vol02/vol02_talk04.mp3
19,第 二 輯,第一位比丘尼,/proxy/namo_mp3/yuan_series/vol02/vol02_talk05.mp3
20,第 二 輯,不必恕春風,/proxy/namo_mp3/yuan_series/vol02/vol02_talk06.mp3
21,第 二 輯,因果報應 (唐紹 李林甫),/proxy/namo_mp3/yuan_series/vol02/vol02_talk07.mp3
22,第 二 輯,伽藍菩薩 (關帝),/proxy/namo_mp3/yuan_series/vol02/vol02_talk08.mp3
23,第 二 輯,香積國,/proxy/namo_mp3/yuan_series/vol02/vol02_talk09.mp3
